"filename", "language", "TypeScript", "comment", "blank", "total"
"/home/hugo/Documents/Crypto/dev/clocktower/test/Clocktower.ts", "TypeScript", 347, 145, 166, 658
"Total", "-", 347, 145, 166, 658
